Sample,Charge,IgGIA1H3N3F1,IgGIA1H3N4,IgGIA1H3N4F1,IgGIA1H3N5F1,IgGIA1H3N6F3,IgGIA1H4N2,IgGIA1H4N3,IgGIA1H4N3F1,IgGIA1H4N3F2,IgGIA1H4N4,IgGIA1H4N4F1,IgGIA1H4N4F1S1,IgGIA1H4N4F2,IgGIA1H4N5F1,IgGIA1H4N5F1S1,IgGIA1H4N5F2S1,IgGIA1H5N3F1,IgGIA1H5N4,IgGIA1H5N4F1,IgGIA1H5N4F1S1,IgGIA1H5N4F1S2,IgGIA1H5N4F2,IgGIA1H5N4F2S1,IgGIA1H5N4F3,IgGIA1H5N5F1,IgGIA1H5N5F1S1,IgGIA1H5N5F2,IgGIA1H5N5F3,IgGIA1H6N3F1G1,IgGIA1H6N3F2,IgGIA1H6N5F1,IgGII1H3N3F1,IgGII1H3N4,IgGII1H3N4F1,IgGII1H3N5F1,IgGII1H3N6F3,IgGII1H4N2,IgGII1H4N3,IgGII1H4N3F1,IgGII1H4N3F2,IgGII1H4N4,IgGII1H4N4F1,IgGII1H4N4F1S1,IgGII1H4N4F2,IgGII1H4N5F1,IgGII1H4N5F1S1,IgGII1H4N5F2S1,IgGII1H5N3F1,IgGII1H5N4,IgGII1H5N4F1,IgGII1H5N4F1S1,IgGII1H5N4F1S2,IgGII1H5N4F2,IgGII1H5N4F2S1,IgGII1H5N4F3,IgGII1H5N5F1,IgGII1H5N5F1S1,IgGII1H5N5F2,IgGII1H5N5F3,IgGII1H6N3F1G1,IgGII1H6N3F2,IgGII1H6N5F1,IgGI1H3N3F1,IgGI1H3N4,IgGI1H3N4F1,IgGI1H3N5F1,IgGI1H3N6F3,IgGI1H4N2,IgGI1H4N3,IgGI1H4N3F1,IgGI1H4N3F2,IgGI1H4N4,IgGI1H4N4F1,IgGI1H4N4F1S1,IgGI1H4N4F2,IgGI1H4N5F1,IgGI1H4N5F1S1,IgGI1H4N5F2S1,IgGI1H5N3F1,IgGI1H5N4,IgGI1H5N4F1,IgGI1H5N4F1S1,IgGI1H5N4F1S2,IgGI1H5N4F2,IgGI1H5N4F2S1,IgGI1H5N4F3,IgGI1H5N5F1,IgGI1H5N5F1S1,IgGI1H5N5F2,IgGI1H5N5F3,IgGI1H6N3F1G1,IgGI1H6N3F2,IgGI1H6N5F1,IgGIILE1H3N3F1,IgGIILE1H3N4,IgGIILE1H3N4F1,IgGIILE1H3N5F1,IgGIILE1H3N6F3,IgGIILE1H4N2,IgGIILE1H4N3,IgGIILE1H4N3F1,IgGIILE1H4N3F2,IgGIILE1H4N4,IgGIILE1H4N4F1,IgGIILE1H4N4F1S1,IgGIILE1H4N4F2,IgGIILE1H4N5F1,IgGIILE1H4N5F1S1,IgGIILE1H4N5F2S1,IgGIILE1H5N3F1,IgGIILE1H5N4,IgGIILE1H5N4F1,IgGIILE1H5N4F1S1,IgGIILE1H5N4F1S2,IgGIILE1H5N4F2,IgGIILE1H5N4F2S1,IgGIILE1H5N4F3,IgGIILE1H5N5F1,IgGIILE1H5N5F1S1,IgGIILE1H5N5F2,IgGIILE1H5N5F3,IgGIILE1H6N3F1G1,IgGIILE1H6N3F2,IgGIILE1H6N5F1,IgGIF1H3N3F1,IgGIF1H3N4,IgGIF1H3N4F1,IgGIF1H3N5F1,IgGIF1H3N6F3,IgGIF1H4N2,IgGIF1H4N3,IgGIF1H4N3F1,IgGIF1H4N3F2,IgGIF1H4N4,IgGIF1H4N4F1,IgGIF1H4N4F1S1,IgGIF1H4N4F2,IgGIF1H4N5F1,IgGIF1H4N5F1S1,IgGIF1H4N5F2S1,IgGIF1H5N3F1,IgGIF1H5N4,IgGIF1H5N4F1,IgGIF1H5N4F1S1,IgGIF1H5N4F1S2,IgGIF1H5N4F2,IgGIF1H5N4F2S1,IgGIF1H5N4F3,IgGIF1H5N5F1,IgGIF1H5N5F1S1,IgGIF1H5N5F2,IgGIF1H5N5F3,IgGIF1H6N3F1G1,IgGIF1H6N3F2,IgGIF1H6N5F1
"id_18_2-A,1_01_55378.raw",3,60504.63724,214400.0401,2956087.861,288307.8138,160795.0681,115798.6063,299719.7787,497347.9633,980120.9518,120866.1484,1554315.708,359844.8967,131839.8285,69803.01306,459924.0557,336044.227,1207942.545,294783.0439,615289.0851,183948.4371,490385.7693,121678.1323,405846.5311,143347.8054,79499.10772,209360.9837,25770.02393,157857.2926,114236.4912,201487.0164,124512.2213,699598.6002,737702.1079,256816.0857,100389.8607,12265.42564,131585.0613,162350.5646,158572.8779,164571.9842,180474.5237,108186.6593,55160.31452,60778.70969,29534.1765,110784.5737,63632.90921,28395.45066,151767.5363,1532528.258,31155.70652,397687.9764,26228.16377,160595.8932,83810.31549,99954.37881,,96391.64092,1087.781339,52624.79001,5961.600255,82636.64683,110871.0381,239437.9988,306515.8178,260060.9184,73224.4335,,202997.9751,2599393.874,32059.11487,21553.81832,1122228.304,50655.94101,438676.9009,345009.5957,779304.0628,239524.8962,492162.9806,59084.82599,320669.9719,77809.1019,61046.33403,16980.86533,17601.57279,94645.20674,206328.0812,99502.31268,509601.7953,67235.59953,124285.5407,92298.43675,20719.27617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340166.5276,207417.7753,1860636.277,632463.8439,212602.0811,38819.39802,105687.686,93517.28359,652146.6503,85694.50481,2421443.52,290923.6987,85479.59932,695909.844,268987.998,29039.5331,280908.5994,319338.9112,828730.6766,221504.5441,133706.7445,122435.0959,732736.382,259454.1178,339282.2473,114583.0032,184788.9737,137478.5545,4136439.371,354156.4177,95351.06676
"id_21_2-F,2_01_55417.raw",2,2309201.752,208666.1483,4644278.109,222490.3358,38225.46807,61784.49566,317071.503,1891159.227,157367.0614,123068.373,1147160.192,128052.6678,46187.73068,69981.92141,38308.03313,30267.71317,2195125.705,126273.0386,332894.7516,29434.64613,26192.55006,79275.4534,26966.35537,35363.88119,42154.43166,33654.99892,38904.36061,11019.00322,50281.35366,116468.1986,27043.1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8911078.418,522383.469,19653898.66,1973358.205,42823.03596,208377.2954,766878.2056,5085134.42,629388.5273,338302.2249,12786856.81,350344.2534,400211.9425,962774.5396,109358.198,23615.13236,3605336.904,240293.3062,3016232.156,393454.6646,147010.3633,233917.003,77603.5411,337412.8899,140555.8209,26021.84056,39650.96798,33868.3986,45407.56128,377339.5546,30348.63024
"id_21_2-F,2_01_55417.raw",3,47555.89481,52192.02644,912051.0383,175695.4053,52540.37001,54752.8476,50928.51981,294352.9818,228342.9582,70764.85503,415075.7187,109880.8598,98560.9387,91971.14525,209968.2754,56666.12679,376513.1735,201647.1689,126478.5051,57887.92614,118648.7124,94359.40854,101974.9316,53928.93148,91431.6837,49363.31064,50555.81404,74336.48102,43667.3302,161612.5436,142653.4717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606531.9537,305387.7686,3697985.548,803420.7947,453716.6912,47527.95513,160227.189,73315.69424,1408584.091,289894.4844,4687786.958,532227.0629,264285.3463,1072160.787,378800.1235,250426.1892,524826.9136,283042.9219,1922621.454,772318.5998,566777.1809,150134.838,1376312.422,648410.5332,292116.979,97175.06269,114305.9853,214631.2969,1873044.421,853133.0345,105723.7485
"stand_02_2-B,2_01_55405.raw",2,239324.4356,148486.6806,338414.5724,38999.45351,3084.403992,11603.22483,34107.09251,108688.2555,603123.9969,29926.22911,107916.8225,1138838.864,414462.1521,21798.26703,1989.274816,10963.06734,138526.9237,34511.37747,57215.60313,142412.555,18190.12405,103811.2056,41469.70929,171164.2252,9622.700943,6924.323211,14968.30708,9346.080022,13084.7789,46520.34976,9573.123012,7173073.811,1044006.647,16420123.49,3346093.515,50070.93668,123951.3773,910806.8179,2997257.391,248719.6251,2935203.046,13182988.89,1763941.33,190733.7885,1745553.118,37419.4159,17592.27961,128411.1523,1664014.273,4215485.655,1929931.982,56041.96896,316761.0968,24749.01349,1536575.69,311691.6885,73767.30226,51480.08317,62920.31529,7198.116551,47728.13768,16944.28484,6528766.703,1562570.978,13740836.55,2719780.166,84669.95634,115292.7393,700254.1662,4507812.72,389952.1019,1485135.195,14097355.32,694248.8953,308760.4528,2962829.221,115571.8782,26496.20563,1100528.876,718031.5829,4903081.968,1951215.678,129072.9509,298839.7905,79277.6601,1595685.91,411552.1757,95399.15421,43084.07546,74887.73138,18070.03542,128968.351,10969.60055,691699.3954,19620.24108,369619.6989,47052.62393,28451.71315,490862.3613,32648.49096,179284.8357,430843.6919,27337.23913,133991.4985,33884.22124,29732.70471,34114.68494,22467.41884,16234.82403,197727.7417,29598.27357,57994.59494,15796.62132,28683.84427,18485.12739,9572.782054,9684.309939,38903.35457,10301.8432,9579.317693,3531.809303,15125.007,52865.90364,23087.44642,4574193.277,184968.9531,11631954,3492173.799,73388.21387,161289.729,2086732.535,2059148.674,192321.0692,4680288.488,8925426.596,1342942.231,119226.8803,1846345.145,103333.1303,16293.41772,147501.2255,4213726.731,2694823.715,1953221.553,64324.26136,287220.5717,30112.95126,1571027.906,300208.2402,71640.1418,40373.91657,61946.28991,43154.32886,143961.1942,19080.44946
"stand_02_2-B,2_01_55405.raw",3,136775.8554,47646.65833,110727.6998,98658.64366,9878.535189,139824.887,47949.89928,69023.14989,454723.5534,45981.07315,139913.7465,1263306.696,1665163.462,155916.4608,101272.6855,169633.7373,131776.3385,67010.27735,1524.745083,391062.8969,224623.5513,763789.826,686470.9836,414797.5785,24891.47967,92617.89369,134836.7867,53802.22838,36607.81335,292972.4066,57796.21838,260921.8697,819016.9646,2879787.354,1543774.039,198342.8221,241351.0216,285389.487,268882.8295,860169.4211,506124.4855,4242661.839,2813659.65,308910.4681,1777074.769,104930.3615,234211.804,280878.9298,665547.6623,2207891.54,4099253.704,240861.938,553362.025,294952.7441,3325422.627,552177.5991,329860.3667,159342.5024,244633.9904,,159915.0401,318910.7307,226140.5976,516052.7247,2698286.755,1341076.886,392979.8861,221632.5621,19491.58213,365267.8853,708309.3972,524139.4416,6040355.87,1682477.643,187703.0745,2820366.661,405453.0041,448678.0625,341965.6214,426951.9794,2770701.479,3770911.775,577709.6602,476567.5643,114167.3845,3028442.919,650427.268,366995.9955,87267.62437,338768.0461,31999.07452,355693.2334,41380.38352,151527.5096,201123.2932,194490.7457,60527.46978,980854.1197,468282.0885,86613.04723,271969.4639,1006633.881,69663.44351,198636.9985,360540.3717,244606.5433,68750.08988,144533.0015,228022.6122,201594.3995,40084.4639,1215092.349,243679.1911,208637.8222,329125.7688,8891.542573,324849.8657,843214.7468,408429.1039,144843.3161,456440.2745,72624.49547,386186.7682,1211235.525,459970.2005,125035.7301,2027799.301,1464038.004,359263.2544,404959.1578,256409.5016,244475.9835,580767.4871,992976.3583,2847710.274,2612036.788,239671.6925,1834980.598,1478390.644,150607.9771,189741.5256,2869464.297,1479284.094,3871952.715,246855.5317,1870745.86,691400.2545,3145941.484,454640.4809,617692.2684,477922.6196,728640.1842,3481275.353,398260.8331,
"stand_03_2-D,3_01_55435.raw",2,208942.5161,129627.9963,304050.0698,40346.60185,12421.54852,12489.2354,39490.01164,109026.8417,629684.5179,38128.17958,93721.44253,1280590.801,524656.6035,32090.66093,7462.655568,16012.74662,111948.2043,47019.60664,54341.06187,228197.0478,49963.46762,187512.988,147123.8427,270668.6297,21309.95561,12369.90586,17530.09499,5060.290377,20623.01474,60999.26896,10728.73283,7662291.349,1057839.636,16496771.78,3509487.959,67155.46385,81573.30869,961550.9304,3340541.224,233154.4767,2986972.516,13800254.62,1740565.508,206030.4729,1845581.008,29950.0094,11847.61135,144744.8383,1753175.148,4502809.606,1902598.144,67613.10434,331686.3751,20736.37916,1555797.045,337876.599,77198.70758,42024.03048,78272.75286,7869.886782,72755.64519,8429.791482,6371540.347,1713778.823,13137839.44,2941383.506,75039.26735,59437.42943,718312.8385,4374376.425,301669.9188,1711809.475,14088732.92,718057.6448,236169.5879,3086269.503,100330.3533,22903.35509,620901.4253,869699.6728,5068202.102,2105297.483,102554.643,271566.4068,64223.03409,1639522.303,477590.1912,90540.95952,33234.91554,73182.85673,38287.04285,86700.18901,14294.89281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4929430.74,195503.0645,11766096.6,3670930.515,85249.95095,153893.9247,2048175.629,2336437.062,184681.5325,4462853.928,9438319.089,1341685.801,129995.2789,1933376.052,94699.50648,20830.62829,91434.67975,4227798.042,2856660.802,1931799.983,62149.88924,282779.2264,26571.69166,1619146.6,328169.5586,69164.58933,33655.92438,60919.03237,26478.02582,112515.3841,22289.2697
"stand_03_2-D,3_01_55435.raw",3,62980.24939,51064.60852,139575.7144,110621.0783,29987.91491,111485.8067,15095.57896,24681.96311,402504.224,66129.58572,136512.4666,1286288.51,1584275.769,140693.7852,70160.23392,156033.3178,88119.93278,36264.86742,379.0724606,391342.4905,185541.0245,753048.1857,787457.4729,446895.5351,33243.95812,57145.34025,153075.6594,9632.886697,50032.50103,295856.0408,20104.85856,261329.7959,913289.173,2862535.621,1551114.906,244103.8846,250537.3803,407559.2908,229217.9071,862766.3964,514291.082,4390997.342,2925063.402,282942.0335,1833752.728,150155.8422,303219.0698,237345.1429,693791.8325,2362096.719,4227655.734,248945.6187,573446.2898,239309.6008,3411024.229,548226.5867,334359.9929,157767.8139,292043.2241,,139107.1206,359341.4641,240349.7347,566877.0087,2634776.805,1434346.102,395059.2234,375380.6038,25116.11029,320612.2615,632630.2809,589967.2131,6106697.217,1774674.06,132226.8746,2985204.404,431001.6493,502964.5095,392029.4171,500367.7204,2938045.092,4208180.91,546350.6938,522016.6831,84758.02924,3379140.211,664202.5819,333086.1038,110357.4825,337820.5946,23028.81848,326238.6922,64187.88448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508843.4413,142437.3841,1977832.95,1409557.584,442781.5995,290857.6009,341165.2455,411848.1447,564181.1297,899921.0937,3159826.893,2867992.931,241883.9518,1934354.38,1663992.486,167954.2622,241684.1121,3035579.817,1619452.276,4074677.585,303887.9556,1736414.325,778712.8174,3290785.889,342487.5056,715783.0448,501120.858,727009.5779,3026710.837,491564.814,
"id_01_2-E,1_01_55390.raw",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133255.47,120732.7877,111967.6217,44180.68968,6688.956609,29831.39632,222464.0631,42012.83254,31932.7218,468534.4173,194730.4032,45838.91841,18121.38152,13591.42,11437.26194,11338.47565,45685.17073,213527.7182,69443.99398,29267.29674,8714.79008,28252.96752,12120.89975,23831.30827,4962.695991,19845.11792,46123.0718,20486.60108,24590.28236,8352.96807,21593.65641,9571197.984,652963.6664,17799075,1490358.651,82520.90546,356369.3475,975641.3913,7563029.153,749730.9382,440554.8922,20178317,436388.5405,660458.841,2290190.463,182742.4525,44317.31361,4124295.079,286571.366,5917562.957,900697.8753,286611.9906,454955.4843,202180.6157,727466.8322,265580.2823,76799.18061,46316.81734,55805.88789,47000.40242,437221.5346,13360.30466,412340.2709,122908.2961,487031.8947,42793.57412,33989.98158,160901.489,44672.56889,289646.4607,508553.1104,38735.1597,182801.0741,24202.76482,261044.425,95979.81754,2538.294291,22944.22853,308280.7092,12400.81969,55011.42684,15010.74473,6610.188461,101946.4108,16466.96604,9102.142846,43445.19654,17827.06613,9883.855304,6085.639626,27812.16835,147404.1728,29584.73583,1167128.168,96631.27511,2825254.36,252118.8333,15178.79526,235976.3122,3829264.131,526530.7497,83685.93105,7222098.086,1900453.552,42045.26038,75712.35805,154471.1287,72896.38371,10409.33917,643094.8602,7519591.784,572529.2626,66292.92886,13290.68968,139795.2812,25261.58091,62752.92274,60732.18729,18710.60684,40478.728,26585.00021,92644.5752,260713.8731,18951.37041
"id_01_2-E,1_01_55390.raw",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638118.2559,578634.6169,305160.952,102057.8879,76945.48996,101620.9934,158896.1435,116813.1589,187348.4177,39310.61559,140367.0414,110128.69,111326.5287,27314.24027,9535.200409,183269.8889,23130.77438,64555.9069,495799.5497,63224.83848,67903.54631,115016.5949,259958.2092,51226.21489,104441.5879,76140.99131,314197.5392,52973.75685,6984.132101,,55894.90886,234376.0273,297073.8118,3710727.612,857461.7376,446287.7234,88043.61286,163487.751,452967.819,918999.5782,363681.2573,8142228.069,470230.7119,231113.7652,2237662.72,412024.8336,481581.9853,783026.9014,181599.4513,3562575.347,1289288.824,1014958.404,327183.5761,311502.7531,1050576.002,348131.3831,269944.8721,83626.80202,251942.5313,108521.8963,662178.2913,68975.7166,65848.0246,133106.906,91083.05206,21307.86795,838136.392,87081.70393,33051.15635,141783.1089,1309202.35,18057.83433,275792.8669,17594.91373,232534.1953,237547.0081,132440.384,248766.1054,85633.33483,40147.96327,1412811.383,3415371.98,151971.596,513270.9031,33076.93695,4778850.992,1052172.464,830336.6609,37969.89937,666259.0276,84286.90266,484665.3785,1336171.497,204157.4385,39703.83961,609519.375,171556.3368,117511.8097,45255.60107,182548.2729,333048.07,251314.8816,1416988.014,641364.6524,970148.5838,112075.4508,150261.608,1759381.421,142679.1026,225435.371,2995666.571,323171.8561,380187.0675,88757.89471,355580.9624,518972.4926,361660.4925,138898.5258,456667.0364,240371.9922,501157.0131,3562433.586,678220.9957,
"id_02_2-B,3_01_55429.raw",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4148148.353,426540.6767,8413775.326,1560865.691,36240.20973,65451.647,484230.1506,1813883.4,155437.5827,1302681.58,7529916.566,931451.788,82623.03057,822107.7445,13153.87434,9613.482507,101147.4738,725872.8509,2366347.667,953722.0119,20466.85897,137690.129,17161.04381,770164.6341,158521.2484,46574.67987,34358.15687,31630.58833,11733.36546,35809.51129,12692.91969,9606016.208,926193.2176,17384583.7,1886433.864,65878.17966,300696.4262,910334.0563,7235046.492,652806.3285,702058.1835,18663088.25,502041.0618,601389.8753,2236208.409,170756.6213,27602.85897,3353253.824,412849.0336,5290064.811,1107305.081,233823.992,375368.9838,165681.8396,915744.7381,275391.6908,64080.48365,48998.93113,58953.52701,46900.3365,351214.63,7789.710486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2183101.96,100658.307,5187055.211,1387572.27,22665.51974,243236.5059,3399223.158,1014896.895,67996.04789,6005015.885,4092325.778,477796.8259,43766.84793,690601.1877,40201.30536,15501.42659,253836.1609,5860560.616,1195941.6,712084.7142,27791.8314,134684.1163,23788.19972,582298.9387,133977.7119,32731.97042,34779.76495,28981.12948,68435.83617,178295.3282,15335.10712
"id_02_2-B,3_01_55429.raw",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258219.2491,286670.0831,1675540.655,830571.024,110014.7758,10807.12561,297624.5059,93779.38415,482607.0146,223809.2432,2567674.302,1696252.125,214954.4561,938769.8173,7791.801858,203703.7238,104366.0311,238829.4821,1457350.769,2218120.994,112881.8072,321936.179,270224.4536,1840317.128,349938.0026,171473.8017,216959.0609,119903.5331,,,133659.0291,182411.7178,340659.7009,3378994.064,930934.9134,383287.0092,188148.6414,98090.35361,544828.8485,833762.0069,398185.8748,7409225.539,881794.9409,106365.128,2186785.095,404881.7309,462014.9914,609535.8538,263663.4889,3088500.323,2030986.525,961847.967,406720.7805,275433.4152,1668751.208,382630.8933,232338.6515,86586.14305,258419.7688,74636.02105,520528.4674,87128.95904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270783.6288,101979.393,966208.1574,553811.7189,173013.503,84331.67592,111206.9958,257501.9181,532035.2834,1092981.638,1357579.199,1680737.66,195726.6137,802749.9547,1576212.663,170127.3571,362023.8453,2650603.027,661905.2363,1751316.724,125760.3709,712785.8097,550656.0799,1429337.279,247478.7715,462824.2484,189507.5946,541663.8225,2020993.09,587466.8845,
"id_03_2-D,4_01_55459.raw",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219596.4041,94371.36281,10261.56848,65624.92485,9986.234031,26122.51441,145070.4389,25039.62274,15335.6414,35140.62574,86192.33247,41236.23466,13674.85693,23751.13931,25655.381,12948.74326,26956.83517,38465.81385,12359.89494,34017.43891,15030.05453,22683.26589,13398.13185,22933.50542,15471.34757,14643.49375,51713.05593,11417.62671,15319.93098,43344.99403,10476.59216,10402097.34,676391.9669,18519403.09,1516774.773,65231.03828,364832.3486,897451.4364,7745366.066,659185.3461,403647.7732,20927352.97,400097.5024,604174.7202,2153210.908,171539.315,32538.123,3651102.732,292230.7097,5754034.88,750583.189,228457.556,384987.5957,167356.0765,615711.005,232175.371,52291.51773,57452.58859,39777.20369,76577.97178,398992.8951,11822.3043,399559.9265,148818.6325,655721.8773,29500.47133,35477.35083,191420.0542,64564.19901,256818.831,487834.992,38382.38667,197963.0581,13200.93602,214509.3423,119791.8277,3010.862257,20345.65648,208462.5326,32440.82792,47946.41245,18535.17617,7581.804868,112406.6346,8083.955798,2647.747374,54476.95506,16078.2222,26686.60426,6534.803851,26870.68093,101721.3914,34162.11735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"id_03_2-D,4_01_55459.raw",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778813.7663,1293672.819,298045.6053,127102.9628,38770.37308,79247.50245,191702.4787,30455.57784,224683.2857,190347.0467,155535.1332,163421.3434,126509.4758,351176.4881,20444.95988,128488.5368,105017.3935,32523.27074,627491.6849,53789.12528,48912.09329,58297.75086,174308.3592,18919.25722,2817.998788,58687.5292,277933.6678,58787.11912,5861.527316,,106646.3744,169847.5393,517842.2797,3580152.246,781872.8229,534416.038,148493.5336,117902.2207,771807.4869,831062.8917,329120.7028,8003925.139,563190.4343,102726.4648,2056496.998,373718.4421,488820.8629,709512.0882,203587.8613,3294093.652,1059025.556,889275.6658,414314.7359,436136.7927,927264.8852,316637.0695,243320.7036,134219.1608,144076.1131,156291.7254,637749.1185,128308.1039,56090.57653,177283.8417,159658.766,18204.60121,1082804.562,300177.271,33934.97956,406813.8907,1339362.834,83088.76843,375036.207,11876.3075,255568.903,252513.1578,134340.9358,311489.1141,228268.1784,163323.0493,1890080.689,6121013.51,160251.2452,458831.1108,22592.48888,9258123.84,1239306.424,701998.2096,883.0408425,711133.8236,121266.4185,573658.1291,1490925.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"id_04_2-F,3_01_55441.raw",2,10878210.71,1072813.161,20697000.55,1054590.267,43586.98007,427638.1085,1513009.179,9098834.3,683470.1978,355818.7687,5521308.044,134351.3943,106181.6493,238826.6072,54558.83691,23716.05123,10065789.04,406253.4639,1540678.67,60878.21918,17948.38057,80571.11423,28160.65242,53458.09834,20801.46851,62896.32674,10249.75874,72565.4809,41530.81437,623689.1223,4517.667056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301438.8419,188216.824,587320.4903,439664.8738,11423.3451,18958.90192,149900.0215,243543.375,86897.4789,140877.5973,406112.5393,25490.88827,65203.23827,62848.28528,12603.96802,8333.747656,94491.84451,115321.1901,120788.1358,25056.06588,16249.4853,50757.58559,18472.65881,16252.7268,22616.62721,753.5458574,21181.00623,19829.98445,12685.29029,51823.63784,13781.40052
"id_04_2-F,3_01_55441.raw",3,74092.99394,146239.5305,3104887.715,397732.7545,166786.8593,148045.3762,300803.1925,886551.5095,715037.2643,201546.6843,1565377.485,320299.82,127036.8451,27533.4731,548115.5458,344512.0562,1424200.02,332014.2288,709219.2764,153350.4819,643552.7269,140967.4591,420205.4659,119350.8771,103185.3566,272719.0931,26987.75504,223528.6476,89427.56022,300355.5066,123056.4458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501206.7105,283228.9187,283421.795,412531.0443,15485.32408,24646.05759,222194.0026,,210057.3424,83628.32423,296025.6708,63879.34994,130933.2377,260976.8746,219329.7762,,40058.81006,194584.1467,200055.6249,115416.4203,65055.46949,32411.11973,663385.3622,137063.4161,270938.5915,108073.3714,112436.1877,178510.6869,4226219.876,700396.3994,132213.5586
"id_06_2-H,3_01_55447.raw",2,9735851.493,993043.0045,18617255.57,969772.779,41868.69662,363983.1227,1334537.909,8040341.081,589560.2486,358864.7709,4915426.702,126536.3022,106844.0485,223723.5976,62671.64319,20382.9378,9051906.203,378521.3468,1388341.74,54229.77568,13651.2071,75089.66113,23521.65374,44547.40849,31353.83705,63996.27632,14908.1644,52141.7598,45223.10015,552007.3241,9096.520942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332418.6556,148124.6023,644357.2884,393686.4342,14152.72736,44159.84564,165994.8659,280719.8233,91866.69275,123650.7348,481957.872,22569.92275,77509.98677,37534.71922,18949.08596,15627.3043,116919.6342,106995.6331,123525.3037,27562.51114,11430.67724,76326.65097,21592.61094,26017.23216,33719.3896,12279.62426,11467.5085,11267.79788,32234.46146,38344.35087,14630.23603
