Sample,Charge,genos_id,allotype,construct,IgGIA1H3N3F1,IgGIA1H3N4,IgGIA1H3N4F1,IgGIA1H3N5F1,IgGIA1H3N6F3,IgGIA1H4N2,IgGIA1H4N3,IgGIA1H4N3F1,IgGIA1H4N3F2,IgGIA1H4N4,IgGIA1H4N4F1,IgGIA1H4N4F1S1,IgGIA1H4N4F2,IgGIA1H4N5F1,IgGIA1H4N5F1S1,IgGIA1H4N5F2S1,IgGIA1H5N3F1,IgGIA1H5N4,IgGIA1H5N4F1,IgGIA1H5N4F1S1,IgGIA1H5N4F1S2,IgGIA1H5N4F2,IgGIA1H5N4F2S1,IgGIA1H5N4F3,IgGIA1H5N5F1,IgGIA1H5N5F1S1,IgGIA1H5N5F2,IgGIA1H5N5F3,IgGIA1H6N3F1G1,IgGIA1H6N3F2,IgGIA1H6N5F1,IgGI1H3N3F1,IgGI1H3N4,IgGI1H3N4F1,IgGI1H3N5F1,IgGI1H3N6F3,IgGI1H4N2,IgGI1H4N3,IgGI1H4N3F1,IgGI1H4N3F2,IgGI1H4N4,IgGI1H4N4F1,IgGI1H4N4F1S1,IgGI1H4N4F2,IgGI1H4N5F2S1,IgGI1H5N3F1,IgGI1H5N4,IgGI1H5N4F1,IgGI1H5N4F1S1,IgGI1H5N4F1S2,IgGI1H5N4F2,IgGI1H5N4F2S1,IgGI1H5N4F3,IgGI1H5N5F1,IgGI1H5N5F1S1,IgGI1H5N5F2,IgGI1H5N5F3,IgGI1H6N3F1G1,IgGI1H6N3F2,IgGI1H6N5F1,IgGIILE1H3N3F1,IgGIILE1H3N4,IgGIILE1H3N4F1,IgGIILE1H3N5F1,IgGIILE1H3N6F3,IgGIILE1H4N2,IgGIILE1H4N3,IgGIILE1H4N3F2,IgGIILE1H4N4,IgGIILE1H4N4F1,IgGIILE1H4N4F1S1,IgGIILE1H4N4F2,IgGIILE1H4N5F1,IgGIILE1H4N5F2S1,IgGIILE1H5N3F1,IgGIILE1H5N4,IgGIILE1H5N4F1,IgGIILE1H5N4F1S2,IgGIILE1H5N4F2,IgGIILE1H5N4F2S1,IgGIILE1H5N4F3,IgGIILE1H5N5F1,IgGIILE1H5N5F1S1,IgGIILE1H5N5F2,IgGIILE1H5N5F3,IgGIILE1H6N3F1G1,IgGIILE1H6N3F2,IgGIILE1H6N5F1,IgGIF1H3N3F1,IgGIF1H3N4,IgGIF1H3N4F1,IgGIF1H3N5F1,IgGIF1H3N6F3,IgGIF1H4N2,IgGIF1H4N3,IgGIF1H4N3F1,IgGIF1H4N3F2,IgGIF1H4N4,IgGIF1H4N4F1,IgGIF1H4N4F1S1,IgGIF1H4N4F2,IgGIF1H4N5F1,IgGIF1H4N5F2S1,IgGIF1H5N3F1,IgGIF1H5N4,IgGIF1H5N4F1,IgGIF1H5N4F1S1,IgGIF1H5N4F1S2,IgGIF1H5N4F2,IgGIF1H5N4F2S1,IgGIF1H5N4F3,IgGIF1H5N5F1S1,IgGIF1H5N5F2,IgGIF1H5N5F3,IgGIF1H6N3F1G1,IgGIF1H6N3F2,IgGIF1H6N5F1,IgGI1H4N5F1,IgGI1H4N5F1S1,IgGIILE1H4N3F1,IgGIILE1H4N5F1S1,IgGIILE1H5N4F1S1,IgGIF1H4N5F1S1,IgGIF1H5N5F1,IgGIA1H5N2,IgGIA1H6N2,IgGIA1H6N3F1,IgGIA1H6N3F1S1,IgGI1H5N2,IgGI1H6N2,IgGI1H6N3F1,IgGI1H6N3F1S1,IgGIILE1H5N2,IgGIILE1H6N2,IgGIILE1H6N3F1,IgGIILE1H6N3F1S1,IgGIF1H5N2,IgGIF1H6N3F1,IgGIF1H6N3F1S1,IgGIF1H6N2,type,num
"id_09_2-A,3_01_55426.raw",2,id_09,IgGIF,WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3337698.312,147347.9228,5824566.422,490285.3452,21491.82353,122018.389,244670.9354,2582445.571,227658.0202,132784.7053,6752052.438,169884.215,295748.5834,18817.80502,1367583.844,128410.0576,1878789.885,227500.5202,67179.75612,130690.0404,39157.80446,190225.4739,74616.29967,32150.9451,14886.2033,24937.81468,44560.19512,117253.2066,16006.02057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11311869.86,743559.5731,24919841.12,2366033.913,45140.77505,305524.8379,1643314.543,6508932.28,885552.8175,1511922.451,15793504.46,397180.8853,461652.8144,1224825.479,29007.00633,4629510.587,1460682.547,3589004.715,452913.3813,166215.6917,280129.0839,83139.62172,362907.9078,37790.57356,59249.76845,37849.50771,75372.47456,535798.5779,33397.13672,476934.133261,31889.7907877,144454.11512,3959.39803195,9174.3714266,96675.5652362,154323.674567,,,,,1205966.82303,195206.56828,610670.617882,144289.136102,,,,,4831352.61833,2607861.95888,588406.705097,1013381.37797,YF-WT,3
"id_09_2-A,3_01_55426.raw",3,id_09,IgGIF,WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191648.7729,273774.1633,1196471.035,363714.4208,153868.3922,26854.41002,84854.20013,500211.6449,385253.4122,68894.49846,2773367.751,156196.4836,178224.1982,232179.587,422765.8593,123166.2909,1203919.369,395425.5141,325996.2876,126642.963,56351.47133,286556.6921,145657.4625,106984.2733,31170.02034,116498.3735,31508.66537,303640.9986,43181.62091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568059.0207,228757.6631,4467599.296,933247.2632,657372.7139,81598.26421,104523.3754,120821.3067,994432.6566,515171.3659,5485777.173,829016.5205,107917.7633,1157028.167,351501.1471,707195.8602,712948.3563,2117186.153,884058.9443,615120.5229,271106.5045,1843936.687,747769.4329,182348.3175,125502.9403,332057.6854,2494912.852,582057.0437,37069.85911,567375.216942,75275.8357935,125334.396684,32572.2269321,95022.9757488,528855.55076,287775.471906,0,,,,0,11062.538309,273393.378243,145107.911884,0,,,,0,1165584.85808,902975.990337,85396.6725444,YF-WT,3
"id_10_2-G,1_01_55396.raw",2,id_10,IgGIILE,WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1551411.557,128590.6641,2418315.712,681080.9252,11196.09074,182141.3879,199176.0169,1090081.97,33298.09643,174420.2029,2400127.265,36561.59527,46424.85215,24121.254,886077.7221,199176.6916,699600.3823,73170.15552,11693.27874,91452.51436,24516.15722,66658.29941,479017.3995,52576.40734,78457.62207,33058.70748,28506.91578,25747.48632,45746.32078,17957821.26,1597193.969,24540093.03,1622255.577,60342.64845,1144469.544,3402173.508,1678286.039,520051.3485,9506412.365,272437.7333,190999.1222,486637.8554,71730.20348,20193885.45,671731.8783,3243740.737,53512.80364,114560.3404,87217.019,157769.6404,36786.49272,85664.32281,23617.02073,34182.03362,66881.58265,1878940.501,26713.85326,1242887.831,42258.16622,2949066.892,78489.91645,46563.06964,551496.1158,1665802.338,295888.8828,2017045.644,1608109.478,1584467.598,322568.9414,124231.3796,78204.87798,66610.09479,268864.4347,810157.7686,294369.4651,31524.73558,128549.6709,36112.355,24844.41566,37901.59534,16906.74884,120266.5891,13695.28638,117721.4245,278552.577,82077.35185,127331.535901,15153.6758904,8336622.70923,59331.68062,190500.629371,38442.7783472,28303.7213479,,,,,906319.803068,197354.339013,470976.118876,167749.242095,18856654.3099,3666282.48166,8885812.22704,2051738.57179,911731.851592,306998.419169,62864.4820133,88927.1493494,YI-WT,1
"id_10_2-G,1_01_55396.raw",3,id_10,IgGIILE,WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720023.9943,367923.39,2013534.298,474463.2847,246734.2845,395332.248,372678.7585,1223654.817,181780.8898,283119.7438,1891702.918,56226.89507,95893.5084,42935.71761,1832742.323,404127.032,855742.4103,77252.93377,203328.8774,336602.3567,66417.15841,93918.94201,689964.9506,89074.85449,53053.35062,15725.74748,114873.8504,487709.2282,514013.2308,317674.1067,274406.1353,3879932.65,409160.2137,660193.3176,568895.868,37703.05822,780225.2031,354853.7999,3082566.813,795910.6145,218094.5424,192282.9753,362128.7747,3012379.489,407541.9928,1808602.213,279254.6812,206668.3826,1034773.663,6730515.631,192761.6506,265344.3349,19742.64783,201423.5021,113563.3049,819956.3279,115310.4285,201298.6479,39158.0812,545310.7569,1797289.042,280808.2708,140961.0275,1567486.297,10384.99487,376308.865,3403604.635,528342.3125,355496.9942,37846.61417,1062980.675,351078.1948,173663.8683,1718671.591,298941.5324,155954.9714,55368.91963,117462.1198,219708.705,131702.3536,136497.8599,408800.0482,175957.3188,3454574.54,1314049.75,,159538.481129,24262.8554547,735387.261226,82722.4358062,377258.587726,52397.2154202,48687.4337149,0,,,,0,136220.306421,1245808.01087,767924.3919,0,154155.602753,2623437.78083,2461332.91195,0,712428.983855,150054.97076,97654.3034967,YI-WT,1
"id_11_2-C,1_01_55384.raw",2,id_11,IgGIILE,WT,3446497.78,337805.4994,8002354.565,350254.0296,36951.27715,149068.4276,399278.2531,2810411.252,284536.3426,152598.5677,2100426.146,48729.15208,61647.73755,111156.4316,37606.68603,27543.634,3294997.65,174513.8001,542169.4719,33541.81294,11882.31201,67315.17961,21189.34583,45679.09265,20104.04642,36531.55797,17762.57514,15126.76315,47717.8401,163176.4501,19521.38964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18844006.89,1650601.193,26213380.52,1701811.973,78077.94677,1129996.919,3608542.835,1759583.534,613395.6511,10192582.3,275565.717,164802.7795,525438.6524,76710.02535,20291415.63,682184.0359,3371903.694,75383.03582,108616.6551,78487.01625,195882.4135,47388.11398,98310.83047,11943.44793,55845.12558,84677.43786,1923289.048,12615.23745,61862.36658,17643.91065,52688.19514,143809.5588,48378.15051,497094.3819,1453198.891,46312.80879,2108438.35,1335607.919,58424.24335,368522.2791,122215.356,34865.4541,57713.58646,54096.15053,456770.1169,57583.49322,27472.65561,150505.704,40107.20486,33785.34703,28065.13033,18377.73094,162334.6392,30217.26061,160775.1715,298854.6957,95207.97389,,,4582133.29484,62056.5289821,193222.854007,39946.7871948,17270.8462298,2037215.20642,377832.276024,1319955.08035,204936.337671,,,,,19571940.0834,3894012.58815,8932529.47812,2176695.03299,572530.850708,102736.713141,22451.2286845,40620.9613175,YI-WT,2
"id_11_2-C,1_01_55384.raw",3,id_11,IgGIILE,WT,71276.59305,80134.50573,1227703.988,97491.7287,75645.07078,97015.9404,149975.2488,233179.664,410558.1875,57479.98885,638747.0667,118607.6844,147860.714,62560.63968,241244.4796,110639.2337,514093.8191,164595.3437,253796.8118,103140.1242,182801.5842,60151.83905,137394.6401,69836.22028,109146.1045,107637.9989,31770.18848,108278.1783,47744.09506,150029.6478,151266.4326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300731.4933,178122.7594,4154312.961,465386.2815,366406.851,495208.9914,44747.20879,501072.1494,345444.3691,3363903.5,857071.635,208445.5576,157980.6503,331391.5795,3141127.325,573945.9835,1819077.473,237640.3492,323310.8495,1089150.876,2396022.874,127191.5032,134471.1566,78546.17995,110146.6733,217203.4904,755019.8661,64939.30302,170608.8957,77818.04771,263072.0872,1364998.952,238562.9188,115477.6519,744088.983,27706.68182,617188.9109,2496571.728,7084.365404,470956.0541,37792.43622,799469.6822,357200.0664,140932.2064,1602416.419,169773.9015,60726.78896,68399.68536,91853.41333,103439.8697,84400.39111,130613.0288,422136.2763,170200.7644,4651563.397,1709300.548,,,,494023.980382,57902.2848967,315265.511168,27065.206229,27438.9982952,0,59156.7789627,618576.555868,235418.261308,0,,,,0,127606.165415,2853902.19954,2527646.26083,0,676129.245463,103900.188635,185007.827491,YI-WT,2
"id_12_2-D,2_01_55411.raw",2,id_12,IgGIILE,WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2928297.885,652562.0378,5753952.206,1546440.104,38635.08523,137617.4291,352769.8771,1985559.103,12028.92587,759027.2578,5915054.418,264901.5885,58637.87157,10815.37017,530455.6041,417350.4029,2243307.076,898484.3725,28165.16921,116117.3746,21509.64834,720128.5566,547958.9167,53130.54529,59482.81697,46014.45053,12227.54611,36323.23414,28347.27089,13335966.68,1124206.864,19120671.27,1256631.03,70464.5337,936252.7598,2321992.782,1366510.031,367933.7526,7288856.969,212499.4611,117042.0875,393347.5901,47916.21507,14358410.85,485121.5393,2360008.242,40368.8052,97653.36196,50630.37411,113413.0685,37271.46211,56352.16197,15774.37154,23922.36759,64554.79084,1304287.612,28485.01317,2112476.904,39456.07294,5468086.714,1379432.706,61893.80471,485741.4933,1666485.793,553059.4397,1407309.358,2343353.144,4073785.583,678236.2644,96862.10326,766593.6964,53250.67966,34772.14635,1410010.15,1099754.256,694576.453,103529.8574,79061.18428,24534.10807,556464.0742,23560.84876,88623.69096,33382.30032,93485.4003,213253.5969,78897.91438,738057.026834,25095.9508361,4277646.0566,44998.9682387,116900.88265,16431.3323349,114832.202243,,,,,573457.213007,121158.390451,322022.405196,177554.269198,13299629.8531,2627364.399,6227000.7512,1465126.79934,377654.30369,116541.76426,31571.4029796,25335.8318466,YI-WT,3
"id_12_2-D,2_01_55411.raw",3,id_12,IgGIILE,WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578412.0264,340447.8741,2349239.662,884440.7188,230029.3099,345664.0657,229276.9657,1045646.062,396425.8795,444840.9228,3309764.776,525636.015,28357.99753,162810.7322,1420283.286,557514.0873,1618458.633,1748930.311,279183.4603,380275.2147,86345.47705,1392882.912,780917.6561,208258.3402,15497.92773,116918.0631,52339.19486,528535.2012,307659.7875,225167.2557,127071.3559,3036130.882,364678.074,513576.6873,572044.2774,24019.70173,1100605.469,272289.058,2325302.343,655315.6763,110186.1737,85544.81181,261125.5527,2144294.342,216895.8512,1547883.676,246983.5145,288397.7155,792047.9331,680604.0665,341646.2511,313592.8699,10748.15057,258325.1529,165610.7541,561729.5122,319691.0732,327460.1313,56137.36933,866390.825,1786642.575,287160.8963,184941.8837,1352500.008,76146.91034,518173.859,3040535.892,1244086.323,990525.3566,102819.1087,1533784.686,247806.559,206551.5361,1940989.78,761908.0116,1411369.315,54158.19197,518391.244,304960.258,1168682.234,318133.1364,439641.1329,324313.9651,3022567.956,1046469.291,,873896.577708,81932.5637742,455610.449013,43285.7671247,238415.379762,330395.197396,145614.366828,0,,,,0,75276.3951441,954626.647268,639767.393433,0,184530.581016,1802751.71553,1809486.75806,0,548276.059461,91511.1373384,81058.2949407,YI-WT,3
"id_13_2-G,2_01_55420.raw",2,id_13,IgGI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9689876.627,589500.6183,18084761.26,1561397.572,77311.1448,282136.3147,816444.9082,7386163.865,712089.9327,396219.2749,19856966.54,420952.0043,659229.699,30382.4737,3595791.862,327777.8875,5740619.287,838370.2374,257330.3842,428725.6229,172683.0288,682193.4825,222233.1604,57089.40587,57950.87913,48711.69382,76328.98348,371171.1235,12225.3051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1379652.885,121373.5672,2959259.386,252697.3779,12435.35777,227573.4372,3847008.312,791974.209,91147.44507,6918993.967,1972987.384,30000.69136,69487.76087,120366.8177,7622.160149,710655.9925,6953217.6,477831.7241,47519.3222,11891.38967,117656.7966,19387.2297,43108.98653,15737.27023,42681.26347,17544.94876,64439.62478,181068.1363,11724.2506,1199806.48035,112846.615815,,,,42002.2684112,31139.0531637,,,,,3853597.9532,715897.531112,1688440.76256,481176.118204,,,,,628349.077887,465562.520294,48988.4029911,158401.718543,Y-NO,1
"id_13_2-G,2_01_55420.raw",3,id_13,IgGI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152758.986,489127.3043,3475614.685,785265.6134,371970.9346,80652.30957,135327.2902,697626.4436,1010181.086,234285.1939,7689056.323,510179.6975,146855.917,456107.8486,708125.616,222273.2579,3449945.149,1282402.39,1053078.112,357652.7054,273314.4852,1033045.911,335316.0771,200437.8548,81172.38608,241654.8096,106341.1378,637207.7412,101382.0057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447278.9215,153132.9648,615939.1422,60181.49595,77069.53322,30571.18919,195004.3666,195319.1665,462943.1918,1261885.026,679082.2807,968611.6877,183184.4803,232295.4882,138533.3829,519890.1677,2793018.904,228085.4512,223557.3881,144688.2396,209125.8195,629645.8,366393.4894,391432.6358,167404.8231,538184.3002,3856200.675,824396.9365,10313.1778,1199448.54388,212560.126025,,,,1184137.12419,69980.468185,0,,,,0,75714.1548382,620951.130983,671019.120757,0,,,,0,595467.329938,11354.0644516,57992.5320233,Y-NO,1
"id_14_2-A,4_01_55450.raw",2,id_14,IgGI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9077374.09,521294.4197,15711685.76,1370863.734,53668.37285,323015.6095,774907.7414,6888144.552,593817.0813,323477.4671,17599067.33,419235.8381,563267.7061,19626.15265,3577408.124,287268.0019,5148578.87,766408.5468,250948.8214,381245.6451,152247.8553,635276.929,191620.8867,48395.37676,44265.16292,44845.78028,76284.37077,363293.7458,12025.43826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021333.89279,107103.242528,,,,,,,,,,3841548.34706,681079.064989,1702581.39195,459173.564695,,,,,,,,,Y-NO,2
"id_14_2-A,4_01_55450.raw",3,id_14,IgGI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192919.256,534184.1051,3008510.755,811232.3167,444803.7454,127594.4075,116618.0398,920157.4207,796861.1452,256914.9365,6977708.972,567229.2341,124965.2285,425940.7932,718164.4549,200363.9133,2988497.572,1103499.534,981313.121,412117.6984,424673.2153,991881.8421,292561.0867,264835.7709,138414.2152,158409.0877,158138.7512,651506.9715,97883.13271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995485.142175,229291.675321,,,,,,0,,,,0,85284.0164857,759166.91214,692243.633227,0,,,,0,,,,Y-NO,2
"id_15_2-D,1_01_55387.raw",2,id_15,IgGI,NO,68429.73425,69987.27142,188857.8263,45990.37435,11263.75101,27698.32602,27724.37262,26265.33718,293627.4011,30140.38919,132690.5035,154269.6407,50085.63644,20880.74685,6163.669745,16238.85058,90589.81693,79349.16241,20649.6708,81381.72322,8921.488502,102664.6287,43974.62571,69377.56067,29904.68226,17122.06098,5905.323775,9713.202165,15170.7146,11545.17908,9242.301813,9343073.034,632781.0235,18041773.88,1773894.773,71908.20478,359131.3926,944831.9057,7098258.497,365623.7357,481224.5501,19420845.15,525070.5743,662479.7687,28786.05629,4129641.757,360796.2175,5937965.063,1085598.913,345544.2044,477785.9626,214327.3847,886659.4964,362254.2611,85238.18743,47269.45874,69682.58343,64201.31755,393578.6074,22937.18529,5662583.941,522943.8833,8492927.447,475073.3497,25923.63303,440479.7673,872020.8414,1040177.206,160443.2003,3184189.392,80923.94595,239747.6588,151210.9196,5496.922703,6452880.024,224435.1569,958162.8634,15716.89834,97336.81482,11054.24023,37014.61479,56079.89235,15473.1243,18005.64144,16152.67684,24202.04561,537915.7376,46943.89818,407414.4063,34691.03109,1165832.28,215176.0605,16453.37416,220300.0825,3761102.383,83454.10376,547322.0841,7152839.6,820162.5848,180000.3568,57160.07552,133572.7779,15243.27891,100975.661,6722522.344,333011.3151,124500.9394,24434.16014,91210.53789,4019.554154,96461.16976,13090.86467,38604.10528,14489.60066,115494.8861,223555.3204,21639.08163,1394650.87711,148796.737566,2523534.24873,14012.7455377,22652.5796504,42717.4166392,36768.427514,4470.9002598,10760.5242788,43431.7393416,104051.500914,4537728.84898,808283.325251,1986277.74999,659536.674433,5656373.79328,1086520.59764,2624915.92702,505418.653341,297733.285242,108702.886791,6990.6039478,36857.7602736,Y-NO,3
"id_15_2-D,1_01_55387.raw",3,id_15,IgGI,NO,63539.71342,92101.90379,236016.5102,3923.89387,41960.02304,66069.36814,18099.72864,290222.8624,262237.9538,28748.35158,36260.00072,870379.5992,135220.0272,37351.36777,104586.7658,113884.2293,21280.25161,16221.51611,20805.67711,242748.5926,108051.4632,608419.4074,351942.9643,259730.9956,72332.66112,95324.88395,49032.11142,87106.54744,21341.53841,196741.5465,57422.83819,385936.2364,344016.0432,4300062.189,1113848.962,353207.6358,122963.8036,196811.1227,868314.6229,595622.4623,450574.5702,8012425.84,648814.8946,295511.7427,408532.5197,1207622.188,260983.6013,3532278.991,1475452.129,1133232.975,411046.7657,384016.7521,1178785.476,437826.2521,287450.5561,32197.06472,240626.6295,123542.3909,483230.7154,152057.5311,107645.2657,106671.2723,1432005.962,102717.4532,537975.2069,196958.2089,,1511709.214,143308.5836,1195022.685,358669.9847,61948.57552,109160.2301,231766.0242,929051.5337,174378.0718,1642572.485,129513.9193,261189.1221,473681.8071,410880.7151,899412.6409,829953.7781,75400.72074,639433.6224,209825.294,519743.3002,1074822.94,202705.9891,13048.32304,289736.915,562936.64,107353.4589,76370.10219,456391.2934,354917.2491,359931.4655,2468543.65,272605.9358,934716.8505,98237.88014,494106.9625,139637.0104,200882.7193,3120786.117,196452.6834,373503.2901,26138.77351,282567.538,280255.1619,414851.1509,391121.7275,347383.8699,441735.2404,3226834.046,669804.4371,,1349460.17089,251952.345018,241973.463625,79756.6808901,113150.258771,1091320.65892,88163.5055303,0,52950.1122406,8667.2480914,202160.505821,0,,1121390.2723,909480.268261,0,95249.8059824,931824.653013,567396.052282,0,319255.532186,26349.8297556,62644.4137026,Y-NO,3
"id_16_2-C,2_01_55408.raw",2,id_16,IgGIA,NO,9084018.376,935290.0579,19370010,958753.2543,22932.60733,338265.3618,1130927.617,7204323.815,575992.6754,329596.0834,5228640.308,116071.684,97964.33833,206501.2083,53545.49829,30999.55643,8154691.204,322727.2516,1321711.49,54319.56401,16406.77871,69469.26304,20545.09816,51062.74652,18822.93547,76394.65312,18585.16767,59858.10501,36359.42508,469302.4687,12458.84616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896398.7168,129803.3114,1841146.135,86487.64402,6773.985548,277805.48,188629.3212,94635.44877,157525.3992,692946.3498,45315.21929,41890.9374,121007.6523,10225.49275,1432154.873,95980.43099,156749.4922,12577.29762,23002.33865,9713.12335,11582.8296,37205.37883,8112.476358,15558.20644,9192.643828,23139.90374,69583.48984,12604.38478,156542.7616,90443.57907,287185.4566,329814.5629,9700.978568,34179.30362,228487.3619,99047.42755,99193.64822,287461.7007,210061.5904,36090.14429,64425.17001,48356.53883,11095.73731,29371.81261,168788.4713,54288.01107,32494.84581,7310.191263,45410.10621,11099.80149,37742.75595,10889.51454,18271.68026,10443.03773,8692.14721,12661.30713,16007.11297,,,1796877.81986,12378.5616853,15433.8876555,10254.8509174,10681.9076871,5556973.25002,1039228.60231,3399002.46577,578031.458949,,,,,746220.585771,410550.821071,449911.358062,61316.4304779,138007.100319,32129.8333384,13155.0191355,66564.5420163,YA-NO,1
"id_16_2-C,2_01_55408.raw",3,id_16,IgGIA,NO,114006.3525,164532.0706,2901603.973,317424.2428,59860.4149,140207.1837,266345.3496,604390.3576,877020.0118,162670.7754,1607030.374,297408.4107,57462.27439,84439.37435,537944.1104,223140.0567,1149182.333,333623.8227,553550.5194,123921.6808,384561.9394,86233.27576,302053.5157,156991.6127,37936.58498,127872.0297,26927.19066,144859.5318,66665.47456,313193.5275,110213.4689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79925.35274,51338.16006,494476.5795,13349.39094,160697.8808,48707.57105,67529.43001,70028.72669,177380.9374,359396.5144,88255.56112,93964.04132,121839.1626,138195.1979,346295.5088,90197.25464,97219.87683,42638.37366,370261.3352,106219.9466,500612.9805,135779.0465,56729.71171,19988.16318,71551.48541,107461.4721,49998.03614,49753.74921,354351.0977,161628.7343,175414.2789,500501.7297,62468.6324,26233.84944,145987.9033,2496.368806,100290.8795,370732.2953,132767.6499,53492.33294,105687.2116,278574.7565,44425.52396,16444.08879,203308.9965,119590.285,119995.7719,120038.7502,49491.50918,246975.135,125817.7461,164095.1199,124360.1834,152262.9916,2017447.303,458857.3654,81419.95437,,,256347.198665,46786.4624465,92718.7812738,23383.1517844,165832.421682,0,91427.3917657,1153082.74923,612494.800862,0,,,,0,158093.679574,128420.646151,37961.8544929,0,68067.3509364,72382.8408911,90256.6962713,YA-NO,1
